PCDS,LAT,LONG,pcds_clean
AL8 6NS,51.80077,-0.205783,AL86NS
AL8 7PY,51.81078,-0.202587,AL87PY
AL8 7RG,51.81712,-0.20274,AL87RG
AL8 7SR,51.80288,-0.226731,AL87SR
AL9 5AF,51.76284,-0.214983,AL95AF
AL9 5BL,51.76564,-0.214539,AL95BL
AL9 6NE,51.72894,-0.177454,AL96NE
AL9 7HF,51.73726,-0.213921,AL97HF
B1 1BB,52.48043,-1.903449,B11BB
B1 1BD,52.47893,-1.902937,B11BD
B1 1QU,52.47471,-1.903461,B11QU
B1 2LP,52.47679,-1.914028,B12LP
B1 3HN,52.48618,-1.912728,B13HN
B1 3HS,52.48476,-1.912127,B13HS
B10 0ED,52.46726,-1.85655,B100ED
B10 0HJ,52.46283,-1.845276,B100HJ
B10 0NR,52.47052,-1.862943,B100NR
B11 1AR,52.46786,-1.877893,B111AR
B11 2AA,52.45627,-1.839191,B112AA
B11 2AB,52.45602,-1.838,B112AB
B11 2AL,52.45888,-1.839579,B112AL
B11 2BA,52.45973,-1.8399,B112BA
B11 4EH,52.44508,-1.868965,B114EH
B12 0DG,52.46541,-1.882801,B120DG
B12 0DU,52.46391,-1.88438,B120DU
B12 0HG,52.46958,-1.88201,B120HG
B12 0JU,52.47324,-1.879703,B120JU
B12 0LD,52.47467,-1.882644,B120LD
B12 0NL,52.47234,-1.880295,B120NL
B12 0NQ,52.47281,-1.883503,B120NQ
B12 0NS,52.47203,-1.882739,B120NS
B12 0PW,52.47227,-1.883872,B120PW
B12 0QR,52.47073,-1.886791,B120QR
B12 0RT,52.471,-1.886098,B120RT
B12 9AD,52.45541,-1.886006,B129AD
B12 9RG,52.45632,-1.891389,B129RG
B13 0RJ,52.42252,-1.878428,B130RJ
B13 8BB,52.45159,-1.887516,B138BB
B13 8JR,52.44491,-1.890564,B138JR
B13 9PZ,52.44106,-1.867006,B139PZ
B13 9TS,52.4382,-1.888035,B139TS
B14 5EB,52.40659,-1.879971,B145EB
B14 5HN,52.40875,-1.887227,B145HN
B14 5JE,52.40505,-1.886163,B145JE
B14 6NH,52.41872,-1.908449,B146NH
B14 6NN,52.41906,-1.906977,B146NN
B14 7AP,52.43928,-1.890857,B147AP
B14 7JG,52.43093,-1.892613,B147JG
B14 7JQ,52.4318,-1.89267,B147JQ
B14 7NE,52.42725,-1.906505,B147NE
B14 7NG,52.42685,-1.905255,B147NG
B14 7SW,52.43809,-1.892875,B147SW
B15 1TH,52.47015,-1.920429,B151TH
B15 1TR,52.47209,-1.918026,B151TR
B15 3AY,52.47085,-1.9422,B153AY
B15 3ES,52.47033,-1.9301,B153ES
B15 3EZ,52.47112,-1.931483,B153EZ
B15 3SH,52.46664,-1.921672,B153SH
B16 8DN,52.47984,-1.923268,B168DN
B16 8LB,52.47239,-1.925695,B168LB
B16 8PF,52.47172,-1.925888,B168PF
B16 8QG,52.47253,-1.922618,B168QG
B16 8SP,52.47322,-1.922838,B168SP
B16 8XF,52.47578,-1.929223,B168XF
B16 9LP,52.47535,-1.949953,B169LP
B16 9NX,52.47159,-1.936767,B169NX
B17 0JG,52.4544,-1.947122,B170JG
B17 8BH,52.47286,-1.960967,B178BH
B17 8DP,52.47387,-1.959421,B178DP
B17 8JF,52.47734,-1.960728,B178JF
B17 8LQ,52.47923,-1.958149,B178LQ
B17 9AP,52.46311,-1.966245,B179AP
B17 9JX,52.45916,-1.950869,B179JX
B17 9PP,52.45861,-1.949074,B179PP
B17 9PU,52.45799,-1.956006,B179PU
B17 9TG,52.46026,-1.965452,B179TG
B18 4EJ,52.48657,-1.939956,B184EJ
B18 4HB,52.48692,-1.943593,B184HB
B18 5NE,52.49825,-1.921763,B185NE
B18 6BA,52.49062,-1.911468,B186BA
B18 6DA,52.48983,-1.91169,B186DA
B18 6HF,52.49085,-1.912586,B186HF
B18 6NY,52.48769,-1.91542,B186NY
B18 6PT,52.4902,-1.917948,B186PT
B18 7AF,52.4852,-1.925144,B187AF
B18 7DL,52.48862,-1.935859,B187DL
B18 7LZ,52.48754,-1.92053,B187LZ
B19 2AB,52.49793,-1.897003,B192AB
B19 2HN,52.5024,-1.900793,B192HN
B19 2YD,52.49522,-1.900986,B192YD
B19 3JG,52.49039,-1.904811,B193JG
B19 3QL,52.48904,-1.899483,B193QL
B19 3UA,52.49508,-1.913756,B193UA
B2 4EU,52.47917,-1.899756,B24EU
B20 1DR,52.52674,-1.930203,B201DR
B20 1EA,52.52626,-1.931766,B201EA
B20 1JA,52.52363,-1.935337,B201JA
B20 2JD,52.51735,-1.930409,B202JD
B20 2NR,52.52002,-1.927163,B202NR
B20 2QS,52.50304,-1.91844,B202QS
B20 3DE,52.51267,-1.899665,B203DE
B20 3JQ,52.5149,-1.902327,B203JQ
B21 0AF,52.51005,-1.957428,B210AF
B21 0AL,52.50805,-1.960774,B210AL
B21 0PD,52.50114,-1.943972,B210PD
B21 9DJ,52.50383,-1.930092,B219DJ
B21 9HA,52.50623,-1.932121,B219HA
B21 9PY,52.51182,-1.93889,B219PY
B23 5GR,52.54226,-1.848239,B235GR
B23 5HD,52.53545,-1.854558,B235HD
B23 5TE,52.53413,-1.830709,B235TE
B23 5TH,52.53431,-1.830118,B235TH
B23 5XU,52.5394,-1.859514,B235XU
B23 6BG,52.5243,-1.837984,B236BG
B23 6EU,52.52448,-1.847608,B236EU
B23 6HP,52.52512,-1.858395,B236HP
B23 6HY,52.52773,-1.848658,B236HY
B23 6JS,52.52891,-1.846075,B236JS
B23 6LA,52.53018,-1.855416,B236LA
B23 6LR,52.52877,-1.841255,B236LR
B23 6PA,52.52598,-1.845731,B236PA
B23 6QU,52.5265,-1.837445,B236QU
B23 6RH,52.52659,-1.836664,B236RH
B23 6RS,52.5234,-1.838857,B236RS
B23 6TE,52.52312,-1.841821,B236TE
B23 6UG,52.52849,-1.842568,B236UG
B23 7YH,52.52021,-1.870143,B237YH
B24 8BG,52.51749,-1.842622,B248BG
B24 9FD,52.51003,-1.811308,B249FD
B24 9FE,52.51,-1.811367,B249FE
B24 9PD,52.51572,-1.819639,B249PD
B24 9QR,52.51108,-1.826761,B249QR
B25 8EP,52.45868,-1.827188,B258EP
B25 8UR,52.46803,-1.808354,B258UR
B26 2DQ,52.47629,-1.791519,B262DQ
B26 2RU,52.46521,-1.776808,B262RU
B26 3NW,52.45129,-1.781204,B263NW
B27 6AD,52.44945,-1.823766,B276AD
B27 6EG,52.45032,-1.816817,B276EG
B27 6QA,52.44914,-1.825754,B276QA
B27 6QG,52.45066,-1.830162,B276QG
B27 6QT,52.44754,-1.826157,B276QT
B27 6RP,52.44793,-1.80716,B276RP
B27 6RT,52.44652,-1.80852,B276RT
B27 7AN,52.43185,-1.817541,B277AN
B27 7RE,52.44093,-1.827566,B277RE
B27 7RS,52.44392,-1.835661,B277RS
B27 7SN,52.43904,-1.837282,B277SN
B27 7TR,52.44977,-1.832255,B277TR
B27 7YE,52.44372,-1.822994,B277YE
B28 0BX,52.42197,-1.856093,B280BX
B28 0XB,52.41416,-1.844253,B280XB
B28 8AS,52.43953,-1.84896,B288AS
B28 8AY,52.43974,-1.845694,B288AY
B28 8JG,52.43487,-1.843916,B288JG
B28 8SR,52.44095,-1.842056,B288SR
B28 9AA,52.43317,-1.845952,B289AA
B28 9HA,52.42036,-1.833277,B289HA
B28 9HH,52.42881,-1.843114,B289HH
B29 5AY,52.43717,-1.958645,B295AY
B29 5UN,52.44144,-1.97959,B295UN
B29 6HR,52.4365,-1.940891,B296HR
B29 6LX,52.43149,-1.949811,B296LX
B29 6QL,52.43969,-1.951876,B296QL
B29 7EJ,52.44774,-1.91529,B297EJ
B3 1EP,52.48415,-1.904722,B31EP
B3 1SF,52.48389,-1.906077,B31SF
B3 1UE,52.48697,-1.908559,B31UE
B3 3AS,52.48122,-1.902063,B33AS
B3 3HN,52.48154,-1.905405,B33HN
B3 3QR,52.48214,-1.90262,B33QR
B3 3RB,52.48231,-1.903003,B33RB
B30 1DN,52.41558,-1.94308,B301DN
B30 2BT,52.42519,-1.923788,B302BT
B30 2JF,52.42193,-1.921912,B302JF
B30 3AU,52.41758,-1.925713,B303AU
B30 3EJ,52.41542,-1.930568,B303EJ
B30 3FJ,52.41326,-1.930292,B303FJ
B30 3NU,52.41349,-1.920456,B303NU
B30 3QH,52.41068,-1.911038,B303QH
B30 3QJ,52.40981,-1.909643,B303QJ
B31 1PR,52.41815,-1.975248,B311PR
B31 1TU,52.42091,-1.983789,B311TU
B31 1UJ,52.41629,-1.984658,B311UJ
B31 2ET,52.41421,-1.957828,B312ET
B31 2FR,52.42905,-1.953167,B312FR
B31 2FZ,52.39408,-1.989911,B312FZ
B31 2GB,52.40202,-1.978768,B312GB
B31 2JW,52.4137,-1.966899,B312JW
B31 2NQ,52.41527,-1.972162,B312NQ
B31 2QT,52.41073,-1.973855,B312QT
B31 2RT,52.40702,-1.969902,B312RT
B31 3AU,52.40918,-1.949424,B313AU
B31 3UH,52.40956,-1.960022,B313UH
B31 5AU,52.40924,-1.97656,B315AU
B31 5DJ,52.40596,-1.986072,B315DJ
B31 5HT,52.40825,-1.996509,B315HT
B31 5RH,52.41112,-1.987394,B315RH
B32 2AL,52.4651,-1.987056,B322AL
B32 2AQ,52.46009,-1.986543,B322AQ
B32 2QS,52.45657,-1.985249,B322QS
B32 2RH,52.45238,-1.987207,B322RH
B32 3BZ,52.44244,-2.009468,B323BZ
B32 3HE,52.43859,-1.990006,B323HE
B32 4AD,52.43911,-2.00932,B324AD
B33 0NN,52.47317,-1.76705,B330NN
B33 0SG,52.47644,-1.779489,B330SG
B33 0TG,52.47279,-1.77431,B330TG
B33 0TU,52.4709,-1.780562,B330TU
B33 0UB,52.47173,-1.779336,B330UB
B33 0XE,52.47443,-1.783651,B330XE
B33 8PP,52.47747,-1.809285,B338PP
B33 9AE,52.48666,-1.811557,B339AE
B34 7RD,52.49462,-1.771856,B347RD
B35 6LJ,52.5214,-1.773898,B356LJ
B35 7QG,52.51582,-1.794351,B357QG
B36 0UG,52.50309,-1.749228,B360UG
B36 8AE,52.49733,-1.808285,B368AE
B36 8DT,52.49418,-1.817431,B368DT
B36 8UE,52.5044,-1.819259,B368UE
B36 9JT,52.50889,-1.755442,B369JT
B36 9NX,52.51079,-1.751793,B369NX
B37 5TN,52.47956,-1.740557,B375TN
B37 6BN,52.4958,-1.749903,B376BN
B37 6NH,52.48553,-1.752538,B376NH
B37 7BS,52.46626,-1.74801,B377BS
B37 7HP,52.46897,-1.729608,B377HP
B37 7PU,52.47336,-1.737605,B377PU
B37 7RF,52.4751,-1.731234,B377RF
B37 7TP,52.47795,-1.727227,B377TP
B37 7WY,52.46767,-1.714293,B377WY
B37 7YB,52.46855,-1.715921,B377YB
B37 7YE,52.47093,-1.718806,B377YE
B37 7YN,52.46801,-1.720812,B377YN
B38 8RS,52.40784,-1.928433,B388RS
B38 8SD,52.40692,-1.92939,B388SD
B38 9LR,52.40519,-1.919192,B389LR
B38 9PN,52.4071,-1.922672,B389PN
B42 2DZ,52.53967,-1.915984,B422DZ
B42 2TX,52.52481,-1.894272,B422TX
B43 5QF,52.53875,-1.934519,B435QF
B43 5SB,52.54344,-1.940292,B435SB
B43 6BP,52.54456,-1.938329,B436BP
B43 7RG,52.55642,-1.913444,B437RG
B44 0HU,52.53994,-1.870777,B440HU
B44 0LD,52.545,-1.869037,B440LD
B44 0ND,52.54779,-1.882581,B440ND
B44 0QR,52.54516,-1.877235,B440QR
B44 0RT,52.55266,-1.87478,B440RT
B44 8HX,52.53805,-1.894225,B448HX
B44 8NH,52.53387,-1.897847,B448NH
B44 8NS,52.54345,-1.902897,B448NS
B44 8PP,52.54063,-1.884414,B448PP
B45 0EN,52.40701,-2.01212,B450EN
B45 0JD,52.40372,-2.0257,B450JD
B45 8HX,52.36387,-2.006703,B458HX
B45 9AH,52.39603,-2.007986,B459AH
B45 9AN,52.40051,-2.012044,B459AN
B45 9SN,52.39896,-2.012602,B459SN
B46 1HQ,52.51371,-1.714156,B461HQ
B46 3AL,52.50022,-1.705921,B463AL
B46 3LD,52.49697,-1.706753,B463LD
B47 5NS,52.39553,-1.882675,B475NS
B49 6HS,52.23511,-1.826853,B496HS
B5 4BD,52.47483,-1.897866,B54BD
B5 6BJ,52.47629,-1.891562,B56BJ
B5 7HP,52.46913,-1.89205,B57HP
B5 7XH,52.46073,-1.905464,B57XH
B50 4JH,52.17198,-1.851897,B504JH
B50 4JS,52.17975,-1.854986,B504JS
B50 4QL,52.1662,-1.856696,B504QL
B6 5RQ,52.49776,-1.881419,B65RQ
B6 6AE,52.50756,-1.901504,B66AE
B6 6NE,52.50779,-1.899323,B66NE
B6 7BH,52.51577,-1.872735,B67BH
B60 3DJ,52.31581,-2.066066,B603DJ
B60 3DX,52.31496,-2.063878,B603DX
B60 3ET,52.31593,-2.057425,B603ET
B60 3JZ,52.31977,-2.069549,B603JZ
B60 4AD,52.29792,-2.074528,B604AD
B60 4AL,52.29507,-2.081899,B604AL
B60 4FG,52.29958,-2.073182,B604FG
B61 0HB,52.34683,-2.049759,B610HB
B61 0HZ,52.36409,-2.046972,B610HZ
B61 8AB,52.33731,-2.057658,B618AB
B61 8DT,52.33773,-2.061151,B618DT
B61 8HQ,52.33397,-2.061572,B618HQ
B61 8QY,52.33364,-2.064374,B618QY
B62 8AN,52.45892,-2.042659,B628AN
B62 8LJ,52.46991,-2.042832,B628LJ
B62 8TR,52.46267,-2.049006,B628TR
B62 9JH,52.47164,-2.032087,B629JH
B63 2EH,52.45587,-2.085774,B632EH
B63 2QB,52.46699,-2.101031,B632QB
B63 3EB,52.4488,-2.046342,B633EB
B63 3HY,52.45103,-2.050862,B633HY
B63 3PG,52.46163,-2.060103,B633PG
B64 5LP,52.47814,-2.068798,B645LP
B64 6HN,52.4757,-2.067999,B646HN
B64 6JE,52.47506,-2.066555,B646JE
B64 7DZ,52.46946,-2.070477,B647DZ
B65 0DH,52.47475,-2.041894,B650DH
B65 0EE,52.47588,-2.043898,B650EE
B65 0LG,52.47657,-2.036566,B650LG
B65 8FG,52.48089,-2.056772,B658FG
B65 8HF,52.4876,-2.054748,B658HF
B65 9AB,52.49318,-2.037449,B659AB
B66 1EH,52.49952,-1.980742,B661EH
B66 1HE,52.50109,-1.986206,B661HE
B66 1HR,52.50018,-1.979371,B661HR
B66 1JE,52.50215,-1.987119,B661JE
B66 1NN,52.50233,-1.997844,B661NN
B66 2AA,52.49699,-1.968561,B662AA
B66 3DX,52.49403,-1.955514,B663DX
B66 3PU,52.4888,-1.96194,B663PU
B66 4ED,52.47997,-1.968235,B664ED
B66 4JN,52.48566,-1.963533,B664JN
B66 4LA,52.48661,-1.964637,B664LA
B66 4SH,52.48745,-1.9534,B664SH
B66 4SQ,52.48636,-1.95184,B664SQ
B67 5NE,52.4779,-1.986905,B675NE
B67 7AL,52.4938,-1.975309,B677AL
B67 7EL,52.48908,-1.984516,B677EL
B67 7JJ,52.49931,-1.989713,B677JJ
B68 0DL,52.4647,-1.992193,B680DL
B68 0JE,52.46962,-2.009224,B680JE
B68 0LE,52.47105,-2.006913,B680LE
B68 0NH,52.46684,-1.986482,B680NH
B68 0NP,52.46608,-1.985746,B680NP
B68 0PJ,52.4623,-2.00987,B680PJ
B68 8AE,52.47744,-2.013172,B688AE
B68 8DG,52.47772,-2.008519,B688DG
B68 8SG,52.49639,-1.999656,B688SG
B68 9HE,52.47361,-1.990528,B689HE
B69 1DT,52.49287,-2.023987,B691DT
B69 1JX,52.50438,-2.037636,B691JX
B69 1QP,52.50681,-2.040599,B691QP
B69 2DG,52.50223,-2.021208,B692DG
B69 2GA,52.50498,-2.031773,B692GA
B69 2RE,52.50163,-2.022268,B692RE
B69 3ES,52.51104,-2.022671,B693ES
B69 3NF,52.51731,-2.041523,B693NF
B69 3NG,52.51777,-2.040742,B693NG
B69 4BY,52.50835,-2.012032,B694BY
B69 4JN,52.50216,-2.011559,B694JN
B7 5AR,52.49464,-1.866743,B75AR
B7 5JR,52.50247,-1.867824,B75JR
B70 0EH,52.53599,-2.016552,B700EH
B70 0GA,52.5369,-2.024867,B700GA
B70 0NS,52.52917,-2.010417,B700NS
B70 0XA,52.52822,-2.01814,B700XA
B70 6HQ,52.51675,-1.984197,B706HQ
B70 6JW,52.51478,-1.987735,B706JW
B70 6LY,52.51426,-1.988339,B706LY
B70 6NY,52.51589,-1.98881,B706NY
B70 8ET,52.51888,-1.996237,B708ET
B70 8GH,52.51931,-2.004563,B708GH
B70 8LU,52.52086,-1.997534,B708LU
B70 9LB,52.52275,-2.001542,B709LB
B70 9QG,52.52237,-2.000098,B709QG
B70 9QP,52.52424,-2.00365,B709QP
B71 1DN,52.53406,-1.999391,B711DN
B71 1HF,52.53335,-1.99376,B711HF
B71 1QB,52.52808,-1.994644,B711QB
B71 4AP,52.52357,-1.985934,B714AP
B71 4JA,52.5226,-1.989516,B714JA
B72 1JL,52.55444,-1.82417,B721JL
B72 1QF,52.55811,-1.826354,B721QF
B72 1YG,52.53729,-1.827556,B721YG
B73 5AE,52.54963,-1.864672,B735AE
B73 5DA,52.5475,-1.858647,B735DA
B73 5TJ,52.54877,-1.841609,B735TJ
B73 5TT,52.54842,-1.839295,B735TT
B73 5UE,52.5449,-1.840621,B735UE
B73 5XA,52.54863,-1.840976,B735XA
B73 5XF,52.54935,-1.846371,B735XF
B73 6LP,52.5524,-1.842658,B736LP
B74 2EZ,52.56527,-1.886886,B742EZ
B74 2LZ,52.56849,-1.821474,B742LZ
B74 2NJ,52.56827,-1.822434,B742NJ
B74 2PR,52.571,-1.824105,B742PR
B75 5BT,52.58747,-1.824954,B755BT
B75 5BY,52.58774,-1.822621,B755BY
B75 7BG,52.56029,-1.810577,B757BG
B76 1HL,52.52967,-1.794448,B761HL
B76 1NY,52.55972,-1.802378,B761NY
B76 1TS,52.54533,-1.801025,B761TS
B76 9DD,52.52951,-1.763981,B769DD
B77 1AG,52.62609,-1.685224,B771AG
B77 1LP,52.59731,-1.685682,B771LP
B77 4AS,52.62312,-1.650854,B774AS
B77 4RD,52.62866,-1.648328,B774RD
B77 4RP,52.62676,-1.648875,B774RP
B77 5DQ,52.60738,-1.676882,B775DQ
B78 1DX,52.62048,-1.611481,B781DX
B78 1RS,52.60222,-1.606873,B781RS
B78 3AJ,52.6432,-1.738985,B783AJ
B78 3HF,52.62736,-1.707922,B783HF
B79 7EF,52.63625,-1.695791,B797EF
B79 7HL,52.63375,-1.691435,B797HL
B79 7LJ,52.6333,-1.693285,B797LJ
B79 7LU,52.63324,-1.696122,B797LU
B79 7QF,52.63412,-1.700859,B797QF
B79 8AG,52.64222,-1.692158,B798AG
B8 2AH,52.48959,-1.822767,B82AH
B8 2SD,52.50237,-1.829049,B82SD
B80 7AN,52.27397,-1.894206,B807AN
B80 7LL,52.27272,-1.894414,B807LL
B9 4LW,52.47775,-1.873021,B94LW
B9 5TS,52.48348,-1.824735,B95TS
B90 1JP,52.40513,-1.86726,B901JP
B90 1UE,52.38306,-1.834812,B901UE
B90 2EL,52.41465,-1.830623,B902EL
B90 2EW,52.41734,-1.832524,B902EW
B90 3AH,52.41188,-1.826517,B903AH
B90 3FE,52.41434,-1.829756,B903FE
B90 3JJ,52.41281,-1.818471,B903JJ
B90 3JQ,52.41374,-1.816027,B903JQ
B90 3ND,52.41557,-1.828575,B903ND
B90 3RT,52.41133,-1.813258,B903RT
B90 4DF,52.398,-1.823984,B904DF
B90 4ND,52.39733,-1.803896,B904ND
B90 4PD,52.39835,-1.808081,B904PD
B90 4PQ,52.39642,-1.814232,B904PQ
B90 8AG,52.37115,-1.798944,B908AG
B90 8AJ,52.36914,-1.799761,B908AJ
B91 1JJ,52.42432,-1.797763,B911JJ
B91 2QD,52.41767,-1.757814,B912QD
B91 2QJ,52.41625,-1.766585,B912QJ
B91 2RY,52.41545,-1.74108,B912RY
B92 7AH,52.43459,-1.801246,B927AH
B92 7AR,52.43803,-1.805659,B927AR
B92 7HP,52.44104,-1.80975,B927HP
B92 8AH,52.43365,-1.790072,B928AH
B92 8BG,52.43733,-1.804088,B928BG
B92 8LN,52.44912,-1.778654,B928LN
B92 8QX,52.43511,-1.786049,B928QX
B92 9NE,52.43331,-1.76801,B929NE
B93 0AL,52.38189,-1.699991,B930AL
B93 0EP,52.38607,-1.739238,B930EP
B93 0LF,52.39007,-1.736569,B930LF
B93 8DB,52.37455,-1.753657,B938DB
B93 8NA,52.38201,-1.761946,B938NA
B94 6NN,52.35578,-1.778105,B946NN
B94 6NW,52.35902,-1.779528,B946NW
B95 5AA,52.29602,-1.778212,B955AA
B95 5GF,52.29722,-1.776666,B955GF
B95 5PF,52.31257,-1.851267,B955PF
B97 4BS,52.31034,-1.94066,B974BS
B97 4QY,52.306,-1.946782,B974QY
B97 5EN,52.28918,-1.94434,B975EN
B97 6HA,52.3076,-1.947147,B976HA
B97 6PG,52.30799,-1.962107,B976PG
B98 0SD,52.31065,-1.884071,B980SD
B98 7DJ,52.30268,-1.939717,B987DJ
B98 7LG,52.2931,-1.917239,B987LG
B98 7ST,52.28357,-1.930215,B987ST
B98 8NZ,52.30927,-1.92353,B988NZ
B98 9HN,52.31195,-1.88794,B989HN
B98 9NN,52.31622,-1.912384,B989NN
BA1 1RG,51.38282,-2.359873,BA11RG
BA1 2PW,51.38707,-2.364505,BA12PW
BA1 3AU,51.38535,-2.379121,BA13AU
BA1 3DS,51.38393,-2.38717,BA13DS
BA1 5UB,51.38923,-2.357308,BA15UB
BA1 6EP,51.39543,-2.3528,BA16EP
BA1 6QA,51.39405,-2.347184,BA16QA
BA1 8AZ,51.3974,-2.342034,BA18AZ
BA11 2FE,51.2449,-2.293565,BA112FE
BA11 4BS,51.22287,-2.327147,BA114BS
BA11 4DP,51.22806,-2.336436,BA114DP
BA11 5DL,51.19777,-2.365197,BA115DL
BA11 5JY,51.22925,-2.307701,BA115JY
BA12 0PG,51.15789,-2.037822,BA120PG
BA12 7QE,51.21932,-2.245922,BA127QE
BA12 7QZ,51.19836,-2.249688,BA127QZ
BA12 8NG,51.20282,-2.191585,BA128NG
BA12 8SP,51.21391,-2.193335,BA128SP
BA12 8TH,51.20597,-2.190496,BA128TH
BA12 9AF,51.20549,-2.183079,BA129AF
BA12 9AW,51.20408,-2.179223,BA129AW
BA12 9LR,51.19998,-2.174126,BA129LR
BA13 3EP,51.25959,-2.180945,BA133EP
BA13 3FE,51.26042,-2.180948,BA133FE
BA13 3JN,51.26287,-2.189887,BA133JN
BA13 3PE,51.25882,-2.184353,BA133PE
BA13 4DL,51.24888,-2.210246,BA134DL
BA13 4HR,51.26801,-2.199684,BA134HR
BA14 0BD,51.31557,-2.212633,BA140BD
BA14 0FH,51.31204,-2.212171,BA140FH
BA14 0RG,51.30291,-2.210293,BA140RG
BA14 0XA,51.30034,-2.198275,BA140XA
BA14 0XG,51.29921,-2.196363,BA140XG
BA14 6JQ,51.3425,-2.152587,BA146JQ
BA14 7SZ,51.32904,-2.180458,BA147SZ
BA14 8AA,51.32057,-2.206126,BA148AA
BA14 8AE,51.3206,-2.206543,BA148AE
BA14 8AR,51.31992,-2.208348,BA148AR
BA14 8BE,51.31887,-2.208113,BA148BE
BA14 8BR,51.31908,-2.209205,BA148BR
BA14 8DX,51.32136,-2.206962,BA148DX
BA14 8EA,51.32177,-2.205486,BA148EA
BA14 8HE,51.32027,-2.215266,BA148HE
BA14 8HQ,51.32143,-2.209546,BA148HQ
BA14 8HW,51.32005,-2.213328,BA148HW
BA14 8JN,51.31705,-2.210473,BA148JN
BA14 8ST,51.32569,-2.202633,BA148ST
BA14 9AA,51.31896,-2.21338,BA149AA
BA15 1EG,51.34238,-2.247257,BA151EG
BA15 1FH,51.34687,-2.249291,BA151FH
BA15 1JZ,51.34796,-2.248751,BA151JZ
BA16 0EN,51.12651,-2.740749,BA160EN
BA16 0JJ,51.12257,-2.74443,BA160JJ
BA2 1AF,51.37362,-2.381265,BA21AF
BA2 1HE,51.37092,-2.38844,BA21HE
BA2 1ND,51.37494,-2.391764,BA21ND
BA2 1RS,51.38105,-2.401371,BA21RS
BA2 2RY,51.35746,-2.381159,BA22RY
BA2 3LL,51.37534,-2.377558,BA23LL
BA2 3PW,51.37773,-2.379216,BA23PW
BA2 5FA,51.36317,-2.353543,BA25FA
BA2 7FF,51.34699,-2.298526,BA27FF
BA2 9AP,51.38643,-2.445248,BA29AP
BA20 1EN,50.94196,-2.634062,BA201EN
BA20 1HZ,50.94255,-2.63081,BA201HZ
BA20 1NA,50.9421,-2.625794,BA201NA
BA20 1RG,50.94167,-2.632478,BA201RG
BA20 2EN,50.94372,-2.660903,BA202EN
BA20 2FH,50.9424,-2.668044,BA202FH
BA21 3AQ,50.94603,-2.643327,BA213AQ
BA21 3ED,50.95063,-2.643134,BA213ED
BA21 3TL,50.94987,-2.66452,BA213TL
BA21 4DH,50.94572,-2.628917,BA214DH
BA22 8RN,50.95307,-2.673863,BA228RN
BA3 2AA,51.29134,-2.466013,BA32AA
BA3 2HN,51.2857,-2.48388,BA32HN
BA3 3BX,51.28224,-2.466824,BA33BX
BA3 3LL,51.28802,-2.430401,BA33LL
BA3 4BQ,51.2813,-2.473238,BA34BQ
BA3 4QE,51.27244,-2.468688,BA34QE
